work_year,exp_level,emp_type,salary
2024,EN,FT,175100
2024,EN,FT,82915
2024,MI,FT,192300
2024,MI,FT,120200
2024,MI,FT,155000
2024,MI,FT,135000
2024,MI,FT,150200
2024,MI,FT,100100
2024,SE,FT,220000
2024,SE,FT,137500
2024,MI,FT,100000
2024,MI,FT,90000
2024,MI,FT,165000
2024,MI,FT,110000
2024,EN,FT,54000
2024,EN,FT,43400
2024,MI,FT,101081
2024,MI,FT,78108
2024,SE,FT,285500
2024,SE,FT,142500
2024,SE,FT,324000
2024,SE,FT,159000
2024,MI,FT,150000
2024,MI,FT,130000
2024,SE,FT,277000
2024,SE,FT,173000
2024,MI,FT,137000
2024,MI,FT,60300
2024,SE,FT,159120
2024,SE,FT,92240
2024,MI,FT,225000
2024,MI,FT,200000
2024,SE,FT,180500
2024,SE,FT,96200
2024,MI,FT,245400
2024,MI,FT,139000
2024,SE,FT,176500
2024,SE,FT,116600
2024,SE,FT,208500
2024,SE,FT,100100
2024,SE,FT,40000
2024,SE,FT,25000
2024,SE,FT,260000
2024,SE,FT,190000
2024,MI,FT,222200
2024,MI,FT,136000
2024,SE,FT,153018
2024,SE,FT,135000
2024,SE,FT,303050
2024,SE,FT,202350
2024,SE,FT,173000
2024,SE,FT,108000
2024,MI,FT,228900
2024,MI,FT,174400
2024,EN,FT,144000
2024,EN,FT,81000
2024,SE,FT,110000
2024,SE,FT,100000
2024,MI,FT,140000
2024,MI,FT,80000
2024,SE,FT,230300
2024,SE,FT,114700
2024,SE,FT,190000
2024,SE,FT,160000
2024,SE,FT,245400
2024,SE,FT,139000
2024,SE,FT,108334
2024,SE,FT,59923
2024,SE,FT,249000
2024,SE,FT,216000
2024,SE,FT,241000
2024,SE,FT,172000
2024,EX,FT,340000
2024,EX,FT,256000
2024,MI,FT,223600
2024,MI,FT,115000
2024,MI,FT,175000
2024,MI,FT,100000
2024,SE,FT,250800
2024,SE,FT,167200
2024,SE,FT,75000
2024,SE,FT,55000
2024,SE,FT,150000
2024,SE,FT,120000
2024,MI,FT,128000
2024,MI,FT,92000
2024,SE,FT,235000
2024,SE,FT,210000
2024,SE,FT,125000
2024,SE,FT,120000
2024,SE,FT,189600
2024,SE,FT,101100
2024,SE,FT,270400
2024,SE,FT,145600
2024,EN,FT,137000
2024,EN,FT,60400
2024,MI,FT,158100
2024,MI,FT,138500
2024,SE,FT,188500
2024,SE,FT,165100
2024,SE,FT,250000
2024,SE,FT,180000
2024,SE,FT,160000
